City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
512,San Rafael,AR,63.88,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
513,Mihijam,IN,68.27,clear sky,23.8526,86.8788,Utsav Lodge & Marriage Hall
518,Camacha,PT,60.22,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
522,Moyale,KE,65.66,broken clouds,3.5167,39.0584,La Tahzan Guest House
523,Gayeri,BF,69.62,clear sky,12.6497,0.4931,
525,Buenaventura,CO,73.74,scattered clouds,3.8801,-77.0312,Hotel Victoria
526,Luena,AO,61.32,overcast clouds,-11.7833,19.9167,Hotel Kandamba
527,Neuquen,AR,66.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
532,Pascagoula,US,53.64,scattered clouds,30.3658,-88.5561,Regency Inn
534,Albany,US,50.58,overcast clouds,42.6001,-73.9662,
535,Ascension,US,53.6,clear sky,30.2169,-90.9001,Highland Inn
536,Tobane,BW,66.67,clear sky,-21.95,27.9,Mediterranean Deep Hotels
537,Chinhoyi,ZW,61.52,overcast clouds,-17.3667,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
538,Maldonado,UY,69.19,overcast clouds,-34.6667,-54.9167,La Cimarrona
540,Necochea,AR,56.03,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
546,Praia Da Vitoria,PT,57.45,few clouds,38.7333,-27.0667,Hotel Branco I
547,San Jose Del Potrero,HN,63.7,few clouds,14.8333,-87.2833,
548,Frei Paulo,BR,72.57,clear sky,-10.5494,-37.5344,Restaurante e Pousada Nossa Senhora De Fátima
549,Mocuba,MZ,71.49,overcast clouds,-16.8392,36.9856,Phama Lodge
555,Khartoum,SD,61.02,clear sky,15.5518,32.5324,Hotel China
556,Canutama,BR,73.29,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
557,Dostpur,IN,60.85,clear sky,26.2833,82.4667,SIR JOHN B.M.
560,Mbulu,TZ,57.02,overcast clouds,-3.85,35.5333,Pasila Lodge
561,Cornelio Procopio,BR,70.43,clear sky,-23.1811,-50.6467,Hotel Midas Cornélio Procópio
562,Taoudenni,ML,58.19,clear sky,22.6783,-3.9836,
564,Chililabombwe,ZM,61.05,light rain,-12.3648,27.8229,Tabernacle Guest Lodge and Events (Under new management!)
565,Uberlandia,BR,69.01,light intensity drizzle,-18.9186,-48.2772,Hotel Apollo
567,Sao Felix Do Xingu,BR,71.24,moderate rain,-6.6447,-51.995,Rio Xingu Camping
568,Paoua,CF,65.17,scattered clouds,7.2427,16.4406,Quartier Paoua Elien
572,Senanga,ZM,65.59,light rain,-16.1167,23.2667,Zango lodge
575,Port Shepstone,ZA,74.66,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
576,Panaba,MX,68.56,clear sky,21.2833,-88.2667,Hotel California
