City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Sawakin,SD,19.1059,37.3321,67.55,66,99,13.85,overcast clouds
252,Port Blair,IN,11.6667,92.75,84.24,65,20,10.36,few clouds
253,Soyo,AO,-6.1349,12.3689,76.39,89,56,5.82,broken clouds
254,Aswan,EG,24.0934,32.907,50.61,71,0,10.58,clear sky
255,Nouadhibou,MR,20.931,-17.0347,68.43,52,75,10.87,broken clouds
256,Sukhumi,GE,43.0033,41.0153,41.47,57,0,4.9,clear sky
257,Raudeberg,NO,61.9875,5.1352,37.2,92,100,8.01,overcast clouds
258,Sao Raimundo Nonato,BR,-9.0153,-42.6994,70.09,97,55,3.47,broken clouds
259,Aleppo,SY,36.25,37.5,42.4,74,0,6.51,clear sky
260,Maarianhamina,AX,60.0973,19.9348,30.06,59,0,5.75,clear sky
261,Alepe,CI,5.5004,-3.6631,82.27,94,63,2.35,broken clouds
262,Filadelfia,US,39.9523,-75.1638,55.29,43,20,13.8,few clouds
263,Saint-Prosper,CA,46.2117,-70.4811,40.32,79,100,10.11,overcast clouds
264,Vardo,NO,70.3705,31.1107,30.58,72,100,23.53,overcast clouds
265,Tirumullaivasal,IN,11.2333,79.8333,80.38,71,95,15.88,overcast clouds
266,Ilovlya,RU,49.3033,43.9796,34.9,91,100,6.4,light snow
267,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.86,84,33,7.49,scattered clouds
268,Peru,US,40.7537,-86.0689,34.61,80,100,19.57,overcast clouds
269,Marfino,RU,55.7028,37.3822,31.91,86,100,11.18,overcast clouds
270,Clyde River,CA,70.4692,-68.5914,-16.37,76,100,29.93,light snow
271,Kavaratti,IN,10.5669,72.642,80.35,75,34,8.37,scattered clouds
272,Ushtobe,KZ,45.2514,77.9838,32.56,97,100,6.62,light snow
273,Inhambane,MZ,-23.865,35.3833,74.37,76,4,6.98,clear sky
274,Turtas,RU,58.9417,69.1325,-2.54,86,84,11.12,broken clouds
275,Grand Gaube,MU,-20.0064,57.6608,82.38,73,59,5.01,broken clouds
276,Ambanja,MG,-13.6833,48.45,75.74,92,24,2.77,few clouds
277,East Stroudsburg,US,40.9995,-75.1813,53.08,61,97,7.76,overcast clouds
278,Artyom,AZ,40.4723,50.333,42.94,81,10,15.26,clear sky
279,Atasu,KZ,48.6814,71.6433,22.48,95,100,18.16,light snow
280,West Bay,KY,19.3667,-81.4167,79.0,88,10,1.01,clear sky
281,Nicoya,CR,10.1483,-85.452,76.55,79,47,5.14,scattered clouds
282,Uribia,CO,11.7139,-72.266,76.73,71,19,13.87,few clouds
283,Rocha,UY,-34.4833,-54.3333,67.82,96,97,2.53,overcast clouds
284,Margate,GB,51.3813,1.3862,43.3,86,49,5.01,scattered clouds
285,Tabory,RU,58.5198,64.5495,5.59,95,100,9.42,light snow
286,Panjakent,TJ,39.4952,67.6093,39.0,84,100,4.54,overcast clouds
287,Sesheke,ZM,-17.4759,24.2968,63.75,94,100,2.1,overcast clouds
288,Cabinda,AO,-5.55,12.2,76.24,87,87,4.29,overcast clouds
289,Jashpurnagar,IN,22.9,84.15,63.64,25,60,6.8,broken clouds
290,Envira,BR,-7.3,-70.2167,72.3,96,56,2.77,moderate rain
291,Coihaique,CL,-45.5752,-72.0662,52.41,76,66,2.3,broken clouds
292,Iranshahr,IR,27.2025,60.6848,55.74,33,0,4.61,clear sky
293,Mongu,ZM,-15.2484,23.1274,66.07,97,100,3.31,overcast clouds
294,Macherla,IN,16.4833,79.4333,76.53,29,8,6.93,clear sky
295,Dingle,PH,10.9995,122.6711,83.84,73,95,13.78,overcast clouds
296,Rusape,ZW,-18.5278,32.1284,56.61,95,32,1.68,scattered clouds
297,Tombouctou,ML,20.0,-3.0,57.07,26,79,11.99,broken clouds
298,Dasoguz,TM,41.8363,59.9666,33.91,86,100,6.91,overcast clouds
299,Acarau,BR,-2.8856,-40.12,77.49,82,83,9.1,broken clouds
300,Abu Dhabi,AE,24.4667,54.3667,66.22,54,0,8.05,clear sky
301,Bandar-E Lengeh,IR,26.5579,54.8807,59.11,94,0,4.61,clear sky
302,Cabimas,VE,10.3883,-71.4399,80.6,64,31,11.27,scattered clouds
303,Pilibanga,IN,29.4916,74.079,63.3,25,0,0.56,clear sky
304,Dalbandin,PK,28.8947,64.4101,60.53,17,0,1.88,clear sky
305,Rubiataba,BR,-15.1644,-49.8033,67.42,94,99,0.72,overcast clouds
306,Turukhansk,RU,65.8167,87.9833,-13.22,83,3,5.14,clear sky
307,Sanchor,IN,24.7553,71.7722,67.98,27,3,6.78,clear sky
308,Kuruman,ZA,-27.4524,23.4325,69.87,58,76,7.38,broken clouds
309,Gallipoli,TR,40.4103,26.6708,51.22,60,6,1.45,clear sky
310,Dzaoudzi,YT,-12.7887,45.2699,80.49,83,75,8.05,broken clouds
311,Mumford,GH,5.2618,-0.759,78.4,88,62,5.59,broken clouds
312,Kautokeino,NO,69.0125,23.0412,-10.95,100,62,1.99,broken clouds
